iter	Logloss
0	0.5919976166
1	0.5111564669
2	0.4437680327
3	0.3949643859
4	0.3589332924
5	0.3262284044
6	0.3025908431
7	0.2821430761
8	0.2642901094
9	0.2503124401
10	0.2384133149
11	0.2282558626
12	0.2214652573
13	0.2153006981
14	0.2105319094
15	0.206783341
16	0.2019708662
17	0.1988239748
18	0.1958131111
19	0.1933945351
20	0.1917165662
21	0.1896586729
22	0.1879643176
23	0.1867660704
24	0.1858422801
25	0.1849941217
26	0.1843353653
27	0.1834261802
28	0.1826286975
29	0.1820285968
30	0.1814118861
31	0.1808995176
32	0.1805544467
33	0.1800846103
34	0.1796821445
35	0.1793951638
36	0.1790918273
37	0.1787323943
38	0.1783851475
39	0.1780866002
40	0.177876711
41	0.1776066552
42	0.1773826218
43	0.1772001655
44	0.1770564951
45	0.1769107603
46	0.1767670922
47	0.1765878321
48	0.1764624894
49	0.1763329023
50	0.1761924774
51	0.1761139843
52	0.1760249867
53	0.1759330301
54	0.1758538157
55	0.1757812091
56	0.1756875921
57	0.1756503624
58	0.1755443399
59	0.1754563152
60	0.1753905125
61	0.175288929
62	0.1752379469
63	0.1751850489
64	0.1750871981
65	0.1750031919
66	0.1749368431
67	0.174869261
68	0.1747762228
69	0.1747088033
70	0.1746203494
71	0.1745464119
72	0.1745114147
73	0.1744594364
74	0.1744029678
75	0.1743352381
76	0.1742352115
77	0.1741883465
78	0.1741355955
79	0.1740932743
80	0.1740519404
81	0.1740137388
82	0.1739413467
83	0.1738830668
84	0.1738482091
85	0.1737798682
86	0.1737067815
87	0.1736261863
88	0.1735842345
89	0.1735312525
90	0.1735003714
91	0.1734713935
92	0.1734347469
93	0.1733703573
94	0.1733249137
95	0.1732923878
96	0.1732671349
97	0.1732067555
98	0.1731847982
99	0.1731321526
100	0.1730757508
101	0.1730540788
102	0.1730251995
103	0.1729689326
104	0.1729013822
105	0.1728682191
106	0.172821527
107	0.1727911248
108	0.1727580309
109	0.1727172765
110	0.1727019171
111	0.172690477
112	0.1726671161
113	0.1726467226
114	0.1726197596
115	0.1725904508
116	0.17255676
117	0.1725345161
118	0.1725078602
119	0.1724614284
120	0.172456366
121	0.1724366065
122	0.1724209567
123	0.1723766096
124	0.1723479668
125	0.1723087202
126	0.1722688833
127	0.1722336154
128	0.172196038
129	0.1721612176
130	0.1721298734
131	0.1720936459
132	0.1720493264
133	0.1720204255
134	0.1719739957
135	0.1719398475
136	0.1719034177
137	0.1718703176
138	0.1718294761
139	0.1718118522
140	0.1717937834
141	0.171768438
142	0.171742948
143	0.1717052244
144	0.17165361
145	0.1716094433
146	0.1715912818
147	0.1715296939
148	0.1714828426
149	0.1714735853
150	0.1714291696
151	0.1714112
152	0.1713807843
153	0.1713252958
154	0.1713117579
155	0.1712583946
156	0.1712342075
157	0.1712010348
158	0.1711590838
159	0.1711149625
160	0.171060479
161	0.1710362316
162	0.1710113086
163	0.1709672276
164	0.1709329061
165	0.1708983584
166	0.170870147
167	0.1708456713
168	0.1708019604
169	0.1707651257
170	0.1707544665
171	0.170727141
172	0.1706689615
173	0.1706373016
174	0.1705800597
175	0.1705476063
176	0.1705177944
177	0.1704872035
178	0.1704447819
179	0.1704100659
180	0.1703974299
181	0.1703467845
182	0.1703335707
183	0.170300071
184	0.1702554344
185	0.1702096065
186	0.170191899
187	0.170152266
188	0.1701046934
189	0.1700556748
190	0.1700137641
191	0.1699743102
192	0.1699186362
193	0.1698911857
194	0.1698426363
195	0.1698397263
196	0.1698138204
197	0.1697711646
198	0.1697259258
199	0.1696974967
200	0.1696638838
