iter	Passed	Remaining
0	48	48248
1	61	30847
2	78	25943
3	92	23041
4	106	21106
5	119	19834
6	134	19041
7	150	18619
8	164	18119
9	177	17567
10	190	17101
11	202	16681
12	216	16430
13	229	16142
14	241	15880
15	254	15656
16	267	15450
17	278	15219
18	290	14975
19	300	14720
20	311	14506
21	322	14349
22	334	14207
23	346	14090
24	358	13990
25	374	14042
26	387	13950
27	399	13853
28	411	13781
29	423	13705
30	437	13663
31	450	13615
32	463	13584
33	475	13500
34	487	13447
35	500	13399
36	512	13345
37	524	13272
38	536	13213
39	548	13169
40	560	13110
41	571	13037
42	583	12996
43	596	12950
44	608	12903
45	621	12886
46	633	12845
47	646	12817
48	659	12792
49	672	12779
50	686	12765
51	698	12725
52	710	12691
53	722	12649
54	733	12605
55	744	12552
56	755	12506
57	766	12450
58	778	12408
59	789	12362
60	799	12308
61	810	12264
62	821	12217
63	831	12163
64	842	12123
65	854	12096
66	867	12082
67	879	12055
68	891	12034
69	903	12006
70	915	11980
71	926	11946
72	938	11918
73	950	11890
74	962	11868
75	974	11852
76	987	11837
77	999	11815
78	1011	11788
79	1022	11759
80	1035	11744
81	1047	11727
82	1059	11703
83	1071	11686
84	1084	11670
85	1096	11648
86	1107	11625
87	1119	11604
88	1131	11581
89	1143	11559
90	1155	11547
91	1181	11659
92	1192	11627
93	1203	11597
94	1215	11580
95	1227	11558
96	1238	11529
97	1249	11504
98	1261	11477
99	1272	11449
100	1282	11417
101	1293	11385
102	1304	11356
103	1314	11324
104	1325	11299
105	1336	11270
106	1347	11244
107	1359	11230
108	1372	11220
109	1386	11220
110	1398	11202
111	1410	11182
112	1422	11169
113	1434	11149
114	1447	11136
115	1461	11140
116	1474	11128
117	1486	11110
118	1498	11092
119	1511	11084
120	1522	11063
121	1535	11052
122	1548	11037
123	1560	11024
124	1573	11016
125	1586	11002
126	1598	10990
127	1610	10972
128	1623	10959
129	1636	10952
130	1649	10943
131	1662	10929
132	1674	10917
133	1687	10904
134	1700	10895
135	1712	10880
136	1725	10868
137	1739	10867
138	1754	10864
139	1767	10857
140	1780	10849
141	1794	10840
142	1807	10833
143	1819	10818
144	1832	10805
